Original,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,black_males,asian_females,indian_females,white_males,black_females,indian_males,asian_males,white_females,Asian,African,Indian,Caucasian,Black_Males,White_Females,White_Males,Asian_Females,Black_Females,Asian_Males,Females,Males
mtcnn,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,,,,,,,,,,,,,,,,,,,,
DP1,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,indian_females,asian_females,white_females,asian_males,black_females,white_males,indian_males,black_males,Indian,Caucasian,Asian,African,White_Females,Asian_Females,Black_Females,White_Males,Asian_Males,Black_Males,Females,Males
opencv,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.4, 0.3, 0.0, 0.0]]","[[0.4, 0.4, 0.4, 0.0, 0.0]]","[[0.7, 0.7, 0.4, 0.4, 0.0]]","[[0.9, 0.9, 0.9, 0.9, 0.9]]","[[1.0, 1.0, 1.0, 1.0, 0.9]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 1.0, 1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.0, 0.0, 0.0]]","[[0.4, 0.2, 0.0, 0.0, 0.0]]","[[0.4, 0.2, 0.0, 0.0, 0.0]]","[[1.0, 1.0, 1.0, 1.0, 0.4]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.0, 0.0, 0.0, 0.0]]"
,indian_males,black_males,white_males,asian_males,black_females,asian_females,indian_females,white_females,Asian,Indian,Caucasian,African,White_Females,Black_Females,Asian_Females,Asian_Males,White_Males,Black_Males,Females,Males
ssd,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.3, 0.0, 0.0, 0.0]]","[[0.4, 0.4, 0.3, 0.0, 0.0]]","[[0.6, 0.6, 0.4, 0.3, 0.0]]","[[0.7, 0.7, 0.7, 0.7, 0.6]]","[[0.9, 0.7, 0.7, 0.7, 0.7]]","[[1.0, 1.0, 1.0, 0.7, 0.7]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.8, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,asian_males,black_males,indian_males,asian_females,black_females,white_males,white_females,indian_females,Indian,Asian,Caucasian,African,White_Males,White_Females,Black_Females,Asian_Males,Asian_Females,Black_Males,Females,Males
retinaface,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.1, 0.0, 0.0, 0.0]]","[[0.1, 0.1, 0.0, 0.0, 0.0]]","[[0.4, 0.4, 0.1, 0.1, 0.0]]","[[0.4, 0.4, 0.1, 0.1, 0.0]]","[[0.4, 0.4, 0.1, 0.1, 0.0]]","[[0.6, 0.4, 0.3, 0.1, 0.0]]","[[1.0, 1.0, 0.4, 0.1, 0.1]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,white_females,indian_females,asian_females,asian_males,black_females,white_males,indian_males,black_males,Indian,Caucasian,Asian,African,White_Females,Black_Females,Asian_Females,Asian_Males,White_Males,Black_Males,Females,Males
dlib,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.4, 0.4, 0.0, 0.0]]","[[0.4, 0.4, 0.4, 0.0, 0.0]]","[[0.7, 0.4, 0.4, 0.1, 0.0]]","[[0.9, 0.9, 0.9, 0.9, 0.9]]","[[1.0, 1.0, 1.0, 1.0, 0.9]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.3, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.2, 0.0, 0.0, 0.0]]","[[0.6, 0.2, 0.0, 0.0, 0.0]]","[[1.0, 1.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,indian_females,asian_females,white_females,asian_males,black_females,white_males,indian_males,black_males,Indian,Asian,African,Caucasian,White_Males,White_Females,Asian_Females,Black_Females,Asian_Males,Black_Males,Females,Males
mtcnn,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.1, 0.0, 0.0, 0.0]]","[[0.4, 0.1, 0.0, 0.0, 0.0]]","[[0.4, 0.1, 0.0, 0.0, 0.0]]","[[0.9, 0.7, 0.1, 0.0, 0.0]]","[[1.0, 1.0, 0.9, 0.6, 0.1]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,,,,,,,,,,,,,,,,,,,,
DP2,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,indian_females,asian_females,black_females,asian_males,white_females,indian_males,white_males,black_males,Indian,Caucasian,Asian,African,White_Females,Black_Females,White_Males,Asian_Females,Asian_Males,Black_Males,Females,Males
opencv,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.1, 0.0, 0.0, 0.0]]","[[0.4, 0.4, 0.1, 0.0, 0.0]]","[[0.6, 0.4, 0.3, 0.1, 0.0]]","[[0.7, 0.6, 0.4, 0.1, 0.0]]","[[0.9, 0.9, 0.6, 0.4, 0.1]]","[[1.0, 0.9, 0.7, 0.4, 0.3]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 1.0, 1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.0, 0.0, 0.0]]","[[0.4, 0.2, 0.0, 0.0, 0.0]]","[[0.8, 0.8, 0.2, 0.0, 0.0]]","[[1.0, 0.8, 0.4, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,black_males,white_males,asian_males,indian_males,asian_females,indian_females,black_females,white_females,Asian,Indian,Caucasian,African,Black_Females,Asian_Females,White_Males,White_Females,Black_Males,Asian_Males,Females,Males
ssd,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.1, 0.1, 0.0, 0.0]]","[[0.3, 0.1, 0.1, 0.0, 0.0]]","[[0.4, 0.4, 0.1, 0.1, 0.0]]","[[0.6, 0.6, 0.6, 0.4, 0.3]]","[[0.7, 0.7, 0.7, 0.7, 0.7]]","[[0.9, 0.7, 0.7, 0.7, 0.7]]","[[1.0, 1.0, 1.0, 1.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,black_females,white_females,indian_females,indian_males,asian_males,asian_females,black_males,white_males,African,Asian,Indian,Caucasian,White_Females,Black_Males,White_Males,Asian_Females,Black_Females,Asian_Males,Females,Males
mtcnn,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,indian_females,black_females,asian_females,white_females,asian_males,indian_males,white_males,black_males,Indian,Caucasian,Asian,African,White_Females,Black_Females,Asian_Females,Asian_Males,White_Males,Black_Males,Females,Males
dlib,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.1, 0.0, 0.0, 0.0]]","[[0.3, 0.1, 0.0, 0.0, 0.0]]","[[0.6, 0.3, 0.0, 0.0, 0.0]]","[[0.6, 0.4, 0.1, 0.0, 0.0]]","[[0.9, 0.6, 0.3, 0.0, 0.0]]","[[1.0, 0.9, 0.6, 0.1, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.4, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,indian_females,black_females,indian_males,black_males,white_females,asian_males,asian_females,white_males,Caucasian,Indian,Asian,African,White_Males,White_Females,Black_Males,Black_Females,Asian_Females,Asian_Males,Females,Males
retinaface,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.7, 0.3, 0.0, 0.0, 0.0]]","[[0.7, 0.3, 0.0, 0.0, 0.0]]","[[0.7, 0.6, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,,,,,,,,,,,,,,,,,,,,
Fawkes-High,BFW,,,,,,,,DemogPairs,,,,,,,,,,,
,black_females,white_females,asian_females,indian_males,indian_females,black_males,asian_males,white_males,Black_Females,Black_Males,Asian_Females,White_Females,White_Males,Asian_Males,,,,,,
